size,seed,max_time,w_start,w_end,w_step,manhattan,length,openings,found,solutions,name
"(1000, 1000)",7,0.2,,,0.25,True,inf,50,False,[],Greedy Best First
"(1000, 1000)",7,0.2,2.5,1.0,0.25,True,inf,50,False,[],AW-A*
"(1000, 1000)",7,0.2,1.0,1.0,0.25,True,inf,50,False,[],A*
"(1000, 1000)",7,0.2,,,0.25,False,inf,50,False,[],Greedy Best First
"(1000, 1000)",7,0.2,2.5,1.0,0.25,False,inf,50,False,[],AW-A*
"(1000, 1000)",7,0.2,1.0,1.0,0.25,False,inf,50,False,[],A*
"(1000, 1000)",7,0.2,,,0.5,True,inf,50,False,[],Greedy Best First
"(1000, 1000)",7,0.2,2.5,1.0,0.5,True,inf,50,False,[],AW-A*
"(1000, 1000)",7,0.2,1.0,1.0,0.5,True,inf,50,False,[],A*
"(1000, 1000)",7,0.2,,,0.5,False,inf,50,False,[],Greedy Best First
"(1000, 1000)",7,0.2,2.5,1.0,0.5,False,inf,50,False,[],AW-A*
"(1000, 1000)",7,0.2,1.0,1.0,0.5,False,inf,50,False,[],A*
"(1000, 1000)",7,1.0,,,0.25,True,inf,50,False,[],Greedy Best First
"(1000, 1000)",7,1.0,2.5,1.0,0.25,True,inf,50,False,[],AW-A*
"(1000, 1000)",7,1.0,1.0,1.0,0.25,True,inf,50,False,[],A*
"(1000, 1000)",7,1.0,,,0.25,False,inf,50,False,[],Greedy Best First
"(1000, 1000)",7,1.0,2.5,1.0,0.25,False,inf,50,False,[],AW-A*
"(1000, 1000)",7,1.0,1.0,1.0,0.25,False,inf,50,False,[],A*
"(1000, 1000)",7,1.0,,,0.5,True,inf,50,False,[],Greedy Best First
