size,seed,max_time,w_start,w_end,w_step,manhattan,length,openings,found,solutions
"(2000, 2000)",7,120.0,2.5,1.0,0.25,False,16731.0,20000,True,"[(20.240837812423706, 16751), (42.67656850814819, 16751), (65.86649107933044, 16751), (90.29913306236267, 16743), (115.42696356773376, 16731)]"
"(2000, 2000)",7,120.0,2.5,1.0,0.5,True,16731.0,20000,True,"[(20.125970125198364, 16751), (43.25114917755127, 16751), (68.07090854644775, 16731), (92.99433612823486, 16731)]"
"(2000, 2000)",7,120.0,2.5,1.0,0.5,False,16731.0,20000,True,"[(20.073992490768433, 16751), (43.169989347457886, 16751), (68.21936225891113, 16731), (93.47140407562256, 16731)]"
"(2000, 2000)",7,0.2,3.0,1.0,0.25,True,inf,20000,False,[]
"(2000, 2000)",7,0.2,3.0,1.0,0.25,False,inf,20000,False,[]
"(2000, 2000)",7,0.2,3.0,1.0,0.5,True,inf,20000,False,[]
"(2000, 2000)",7,0.2,3.0,1.0,0.5,False,inf,20000,False,[]
"(2000, 2000)",7,1.0,3.0,1.0,0.25,True,inf,20000,False,[]
"(2000, 2000)",7,1.0,3.0,1.0,0.25,False,inf,20000,False,[]
"(2000, 2000)",7,1.0,3.0,1.0,0.5,True,inf,20000,False,[]
"(2000, 2000)",7,1.0,3.0,1.0,0.5,False,inf,20000,False,[]
"(2000, 2000)",7,3.0,3.0,1.0,0.25,True,inf,20000,False,[]
"(2000, 2000)",7,3.0,3.0,1.0,0.25,False,inf,20000,False,[]
"(2000, 2000)",7,3.0,3.0,1.0,0.5,True,inf,20000,False,[]
"(2000, 2000)",7,3.0,3.0,1.0,0.5,False,inf,20000,False,[]
"(2000, 2000)",7,30.0,3.0,1.0,0.25,True,16897.0,20000,True,"[(16.310967445373535, 16897)]"
"(2000, 2000)",7,30.0,3.0,1.0,0.25,False,16897.0,20000,True,"[(16.21682596206665, 16897)]"
"(2000, 2000)",7,30.0,3.0,1.0,0.5,True,16897.0,20000,True,"[(16.30521059036255, 16897)]"
"(2000, 2000)",7,30.0,3.0,1.0,0.5,False,16897.0,20000,True,"[(16.4033420085907, 16897)]"
"(2000, 2000)",7,60.0,3.0,1.0,0.25,True,16751.0,20000,True,"[(16.363511085510254, 16897), (34.954604387283325, 16813), (55.279961824417114, 16751)]"
"(2000, 2000)",7,60.0,3.0,1.0,0.25,False,16751.0,20000,True,"[(16.890474557876587, 16897), (35.367026567459106, 16813), (55.94714856147766, 16751)]"
"(2000, 2000)",7,60.0,3.0,1.0,0.5,True,16751.0,20000,True,"[(16.424283742904663, 16897), (36.68679404258728, 16751), (59.601248264312744, 16751)]"
"(2000, 2000)",7,60.0,3.0,1.0,0.5,False,16751.0,20000,True,"[(16.643856048583984, 16897), (37.09309697151184, 16751), (59.80562782287598, 16751)]"
"(2000, 2000)",7,120.0,3.0,1.0,0.25,True,16751.0,20000,True,"[(16.375905990600586, 16897), (34.887062072753906, 16813), (55.39953684806824, 16751), (77.07288956642151, 16751), (100.05391216278076, 16751)]"
"(2000, 2000)",7,120.0,3.0,1.0,0.25,False,16751.0,20000,True,"[(16.767804384231567, 16897), (35.622411251068115, 16813), (55.85465216636658, 16751), (77.62188982963562, 16751), (100.77444505691528, 16751)]"
"(2000, 2000)",7,120.0,3.0,1.0,0.5,True,16731.0,20000,True,"[(16.39209794998169, 16897), (36.89114189147949, 16751), (59.70137119293213, 16751), (84.60488104820251, 16731), (109.66949558258057, 16731)]"
"(2000, 2000)",7,120.0,3.0,1.0,0.5,False,16731.0,20000,True,"[(16.754002332687378, 16897), (37.090383768081665, 16751), (60.089349031448364, 16751), (85.07816433906555, 16731), (110.19445037841797, 16731)]"
